"","council","site","beachbugs","beach_id","region","longitude","latitude","date"
"1","Randwick Council","Clovelly Beach",19,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"02/01/2013"
"2","Randwick Council","Clovelly Beach",3,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"06/01/2013"
"3","Randwick Council","Clovelly Beach",2,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"12/01/2013"
"4","Randwick Council","Clovelly Beach",13,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"18/01/2013"
"5","Randwick Council","Clovelly Beach",8,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"30/01/2013"
"6","Randwick Council","Clovelly Beach",7,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"05/02/2013"
"7","Randwick Council","Clovelly Beach",11,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"11/02/2013"
"8","Randwick Council","Clovelly Beach",97,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"23/02/2013"
"9","Randwick Council","Clovelly Beach",3,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"07/03/2013"
"10","Randwick Council","Clovelly Beach",0,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"25/03/2013"
"11","Randwick Council","Clovelly Beach",6,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"02/04/2013"
"12","Randwick Council","Clovelly Beach",0,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"12/04/2013"
"13","Randwick Council","Clovelly Beach",1,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"18/04/2013"
"14","Randwick Council","Clovelly Beach",8,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"24/04/2013"
"15","Randwick Council","Clovelly Beach",3,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"01/05/2013"
"16","Randwick Council","Clovelly Beach",5,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"20/05/2013"
"17","Randwick Council","Clovelly Beach",0,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"31/05/2013"
"18","Randwick Council","Clovelly Beach",8,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"06/06/2013"
"19","Randwick Council","Clovelly Beach",2,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"12/06/2013"
"20","Randwick Council","Clovelly Beach",35,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"24/06/2013"
"21","Randwick Council","Clovelly Beach",2,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"06/07/2013"
"22","Randwick Council","Clovelly Beach",2,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"18/07/2013"
"23","Randwick Council","Clovelly Beach",57,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"24/07/2013"
