"X.1","X","council","site","beachbugs","beach_id","region","longitude","latitude","date","day","month","year","logbeachbugs","beachbugsdiff","buggier_all","buggier_site"
1,1,"Randwick Council","Clovelly Beach",19,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"02/01/2013",2,1,2013,2.94443897916644,16.0555610208336,FALSE,TRUE
2,2,"Randwick Council","Clovelly Beach",3,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"06/01/2013",6,1,2013,1.09861228866811,1.90138771133189,FALSE,FALSE
3,3,"Randwick Council","Clovelly Beach",2,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"12/01/2013",12,1,2013,0.693147180559945,1.30685281944005,FALSE,FALSE
4,4,"Randwick Council","Clovelly Beach",13,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"18/01/2013",18,1,2013,2.56494935746154,10.4350506425385,FALSE,TRUE
5,5,"Randwick Council","Clovelly Beach",8,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"30/01/2013",30,1,2013,2.07944154167984,5.92055845832016,FALSE,FALSE
6,6,"Randwick Council","Clovelly Beach",7,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"05/02/2013",5,2,2013,1.94591014905531,5.05408985094469,FALSE,FALSE
7,7,"Randwick Council","Clovelly Beach",11,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"11/02/2013",11,2,2013,2.39789527279837,8.60210472720163,FALSE,TRUE
8,8,"Randwick Council","Clovelly Beach",97,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"23/02/2013",23,2,2013,4.57471097850338,92.4252890214966,TRUE,TRUE
9,9,"Randwick Council","Clovelly Beach",3,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"07/03/2013",7,3,2013,1.09861228866811,1.90138771133189,FALSE,FALSE
10,10,"Randwick Council","Clovelly Beach",0,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"25/03/2013",25,3,2013,-Inf,Inf,FALSE,FALSE
